C98 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6c5b6d5b6b5b6f5b6b5c6c
C98 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6c5b6d5b6c5b6c5b6b5b6b5b6d
C110 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6c5b6l5b6c5b6b5b6b5b6b5b6c
C104 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6b5b6c5b6i5c6c5b6b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6b5b6d5b6c5b6d5b6f5b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6b5b6d5b6c5b6e5b6d5b6b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6c5b6c5b6c5b6c5b6g5b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6d5c6g5b6e5b6b5b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6f5b6f5b6b5b6e5b6c5b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6f5b6f5b6c5b6d5b6b5b6b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6f5b6g5b6e5b6b5b6b5b6c
C112 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6i5b6c5b6c5b6b5b6d5b6c
C112 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6i5b6d5b6b5b6b5b6c5b6d
C116 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6i5b6e5b6g5b6b5c6b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6m5b6b5c6d5b6d5b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6n5b6b5b6d5b6b5b6b5b6b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6d5b6n5b6c5b6b5b6b5b6f5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6b5b6b5b6e5b6d5c6c
C104 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6b5b6c5b6c5b6b5b6h5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6c5c6e5b6c5b6b5b6c
C106 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6d5b6f5b6b5b6b5c6e
C110 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6d5b6i5b6d5b6b5b6b5b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6e5b6c5b6b5b6b5b6b5b6f
C106 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6e5b6d5b6c5b6b5b6c5b6c
C108 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6e5b6d5b6d5b6e5b6b5b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6h5b6b5b6d5b6b5b6d5b6c
C112 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6i5b6e5b6b5b6b5b6b5b6c
C116 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6e5b6n5c6d5b6b5b6c5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6f5b6b5c6e5b6b5b6c5b6c
C106 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6f5b6d5b6d5b6b5b6c5b6c5b6c
C120 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6f5b6n5b6d5b6b5b6b5b6b5b6b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6g5b6c5b6d5b6b5b6f5b6b5b6b
C116 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6g5b6f5b6b5b6j5b6b5c6b
C112 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6h5b6f5b6b5b6e5b6b5b6b5b6c
C118 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6i5b6f5b6c5b6g5b6b5b6b5b6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6b5b6b5b6b5b6c5b6h5b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6b5b6b5b6b5b6i5c6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6b5b6b5b6c5b6g5b6b5b6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6b5b6c5b6b5b6f5b6c5b6b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6b5b6c5b6d5b6d5b6b5b6d
C120 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6c5b6b5b6d5b6c5b6c5b6d
C120 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6m5b6c5b6c5b6c5b6c5b6b5b6e
C114 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6b5b6b5b6b5c6g5b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6b5b6b5b6b5b6b5b6b5b6e
C116 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6b5b6c5b6b5b6e5b6b5b6b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6c5b6b5b6b5b6d5b6c5b6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6c5b6b5b6c5b6b5b6f5b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6c5b6c5c6d5b6b5b6c
C120 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6d5b6c5b6e5b6b5b6b5b6b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6n5b6d5b6d5b6b5b6b5b6b5b6d
C102 (NoA=1) A1-5b6b5b6b5b6b5b6s5c6c5b6l5c6b5b6b5b
C90 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6b5b6b5b6b5b6b5b6b5b6e5b
C92 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6b5b6c5b6c5b6b5b6c5b6b5b6b
C96 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6b5b6c5b6d5b6b5c6f5b
C104 (NoA=4) A1-5b6b5b6b5b6b5b6s5b6b5b6k5b6c5c6b5b6c5b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6c5b6e5b6c5b6d5b6e5b6b5b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6c5b6e5b6g5b6b5b6b5b6b5b6b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6c5b6e5b6h5b6b5b6b5b6b5b6c
C106 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6c5b6f5b6c5b6c5b6b5b6f5b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6c5b6f5b6c5b6d5b6d5b6b5b6c
C106 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6c5b6g5b6e5b6c5b6c5b6b5b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6c5b6m5b6b5b6b5b6c5b6c5b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6c5b6p5b6b5c6b5b6f5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6d5b6d5b6c5b6b5b6c5b6b5b6c
C102 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6d5b6d5b6e5b6d5b6b5b6b5b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6d5b6e5b6c5b6b5b6c5b6f5b
C114 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6d5b6n5b6b5b6c5b6b5b6b5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6e5b6c5b6c5b6b5b6b5b6c5b6c
C102 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6f5b6b5b6e5b6b5b6c5b6b5b6b
C116 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6h5b6h5b6f5b6b5b6b5c6b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6i5b6d5b6b5b6b5b6d5c6d
C110 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6i5b6d5b6b5b6c5b6d5b6b5b6b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6i5b6d5b6c5b6g5b6b5c6b
C112 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6k5b6b5b6b5b6e5b6b5b6b5b6c
C118 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6l5b6b5b6b5b6d5b6b5b6g5b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6l5b6b5b6b5b6e5b6e5c6b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6l5b6b5b6c5b6d5b6d5b6b5b6b
C118 (NoA=2) A1-5b6b5b6b5b6b5b6s5b6l5b6b5b6d5b6g5b6b5b6b5b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6l5b6c5b6e5b6b5b6b5b6b5b6e
C120 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6l5b6c5b6f5b6c5b6b5b6c5b6b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6m5b6b5b6b5b6b5b6b5b6e5b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6m5b6c5b6c5b6b5b6c5b6b5b6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6s5b6m5b6c5b6d5b6b5c6f5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6c5b6b5b6d5b6b5b6f5b6b5b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6c5b6c5b6c5b6f5b6b5b6b5b6b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6d5b6b5b6c5b6e5b6c5b6b5b6b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6d5b6b5b6k5b6b5b6b5c6b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6d5b6e5b6b5b6c5b6b5b6b5b6c
C112 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6d5b6f5b6g5c6e5b6b5b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6d5b6g5b6e5b6b5b6b5b6b5b6b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6e5b6d5b6f5b6b5c6c5b6b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6e5b6e5b6d5b6c5c6f5b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6e5b6f5b6c5b6d5b6b5b6c5b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6e5b6f5b6d5b6c5b6b5b6b5b6b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6f5b6d5b6d5b6b5b6b5b6f5b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6f5b6d5b6e5b6c5b6d5b6b5b6b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6f5b6h5b6b5b6b5b6b5b6b5b6c
C114 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6k5b6c5b6c5b6b5b6c5b6b5b6c
C114 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6k5b6d5b6b5b6b5b6c5c6d
C118 (NoA=1) A1-5b6b5b6b5b6b5b6t5b6k5b6e5b6c5b6e5b6b5c6b
C108 (NoA=2) A1-5b6b5b6b5b6b5b6u5b6c5b6d5b6b5b6f5b6e5b6b5b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6v5b6b5b6b5c6b5b6h5b6c5b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6v5b6b5b6b5c6b5b6i5c6b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6v5b6b5b6b5b6b5b6b5b6b5b6j5b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6v5b6b5b6c5b6b5b6b5b6e5b6c5b6b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6v5b6b5b6d5b6b5b6g5b6e5b6c5b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6v5b6b5b6e5b6b5c6g5b6b5b6b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6v5b6b5b6e5b6b5b6g5b6c5b6b5b
